,DATE,price,pc_1q,pc_2q
0,1945-12-31,1.17,,
1,1946-03-31,1.27,,
2,1946-06-30,1.4366666666666668,0.08201315166083528,
3,1946-09-30,1.5533333333333332,0.12330871497704694,0.08201315166083528
4,1946-12-31,1.62,0.07807754402189797,0.12330871497704694
5,1947-03-31,1.87,0.042022989774848085,0.07807754402189797
6,1947-06-30,1.87,0.14351228162220256,0.042022989774848085
7,1947-09-30,2.0033333333333334,0.0,0.14351228162220256
8,1947-12-31,2.57,0.06887402901251126,0.0
9,1948-03-31,2.57,0.2490934390281219,0.06887402901251126
10,1948-06-30,2.57,0.0,0.2490934390281219
11,1948-09-30,2.57,0.0,0.0
12,1948-12-31,2.57,0.0,0.0
13,1949-03-31,2.57,0.0,0.0
14,1949-06-30,2.57,0.0,0.0
15,1949-09-30,2.57,0.0,0.0
16,1949-12-31,2.57,0.0,0.0
17,1950-03-31,2.57,0.0,0.0
18,1950-06-30,2.57,0.0,0.0
19,1950-09-30,2.57,0.0,0.0
20,1950-12-31,2.57,0.0,0.0
21,1951-03-31,2.57,0.0,0.0
22,1951-06-30,2.57,0.0,0.0
23,1951-09-30,2.57,0.0,0.0
24,1951-12-31,2.57,0.0,0.0
25,1952-03-31,2.57,0.0,0.0
26,1952-06-30,2.57,0.0,0.0
27,1952-09-30,2.57,0.0,0.0
28,1952-12-31,2.57,0.0,0.0
29,1953-03-31,2.6533333333333333,0.0,0.0
30,1953-06-30,2.82,0.03191081228105363,0.0
31,1953-09-30,2.82,0.06092017376184026,0.03191081228105363
32,1953-12-31,2.82,0.0,0.06092017376184026
33,1954-03-31,2.82,0.0,0.0
34,1954-06-30,2.82,0.0,0.0
35,1954-09-30,2.82,0.0,0.0
36,1954-12-31,2.82,0.0,0.0
37,1955-03-31,2.82,0.0,0.0
38,1955-06-30,2.82,0.0,0.0
39,1955-09-30,2.82,0.0,0.0
40,1955-12-31,2.82,0.0,0.0
41,1956-03-31,2.82,0.0,0.0
42,1956-06-30,2.82,0.0,0.0
43,1956-09-30,2.82,0.0,0.0
44,1956-12-31,2.986666666666667,0.0,0.0
45,1957-03-31,3.07,0.05742105336870738,0.0
46,1957-06-30,3.07,0.02751962328037625,0.05742105336870738
47,1957-09-30,3.046666666666667,0.0,0.02751962328037625
48,1957-12-31,3.07,-0.007629464801156728,0.0
49,1958-03-31,3.07,0.0076294648011567216,-0.007629464801156728
50,1958-06-30,3.07,0.0,0.0076294648011567216
51,1958-09-30,3.023333333333333,0.0,0.0
52,1958-12-31,2.99,-0.01531758614017036,0.0
53,1959-03-31,2.97,-0.011086588056340255,-0.01531758614017036
54,1959-06-30,2.97,-0.006711434587986804,-0.011086588056340255
55,1959-09-30,2.97,0.0,-0.006711434587986804
56,1959-12-31,2.97,0.0,0.0
57,1960-03-31,2.97,0.0,0.0
58,1960-06-30,2.97,0.0,0.0
59,1960-09-30,2.97,0.0,0.0
60,1960-12-31,2.97,0.0,0.0
61,1961-03-31,2.97,0.0,0.0
62,1961-06-30,2.97,0.0,0.0
63,1961-09-30,2.97,0.0,0.0
64,1961-12-31,2.97,0.0,0.0
65,1962-03-31,2.97,0.0,0.0
66,1962-06-30,2.97,0.0,0.0
67,1962-09-30,2.97,0.0,0.0
68,1962-12-31,2.97,0.0,0.0
69,1963-03-31,2.97,0.0,0.0
70,1963-06-30,2.97,0.0,0.0
71,1963-09-30,2.97,0.0,0.0
72,1963-12-31,2.97,0.0,0.0
73,1964-03-31,2.97,0.0,0.0
74,1964-06-30,2.92,0.0,0.0
75,1964-09-30,2.92,-0.016978336534417906,0.0
76,1964-12-31,2.92,0.0,-0.016978336534417906
77,1965-03-31,2.92,0.0,0.0
78,1965-06-30,2.92,0.0,0.0
79,1965-09-30,2.92,0.0,0.0
80,1965-12-31,2.92,0.0,0.0
81,1966-03-31,2.92,0.0,0.0
82,1966-06-30,2.936666666666667,0.0,0.0
83,1966-09-30,2.97,0.0056915349997882754,0.0
84,1966-12-31,2.99,0.011286801534629855,0.0056915349997882754
85,1967-03-31,3.0,0.006711434587986778,0.011286801534629855
86,1967-06-30,3.046666666666667,0.0033389012655146303,0.006711434587986778
87,1967-09-30,3.07,0.015435808129839248,0.0033389012655146303
88,1967-12-31,3.07,0.0076294648011567216,0.015435808129839248
89,1968-03-31,3.07,0.0,0.0076294648011567216
90,1968-06-30,3.07,0.0,0.0
91,1968-09-30,3.07,0.0,0.0
92,1968-12-31,3.13,0.0,0.0
93,1969-03-31,3.35,0.019355442952956072,0.0
94,1969-06-30,3.35,0.06792734128491323,0.019355442952956072
95,1969-09-30,3.35,0.0,0.06792734128491323
96,1969-12-31,3.35,0.0,0.0
97,1970-03-31,3.35,0.0,0.0
98,1970-06-30,3.31,0.0,0.0
99,1970-09-30,3.393333333333333,-0.012012156448003545,0.0
100,1970-12-31,3.56,0.02486453306529529,-0.012012156448003545
101,1971-03-31,3.56,0.04794782240967216,0.02486453306529529
102,1971-06-30,3.56,0.0,0.04794782240967216
103,1971-09-30,3.56,0.0,0.0
104,1971-12-31,3.56,0.0,0.0
105,1972-03-31,3.56,0.0,0.0
106,1972-06-30,3.56,0.0,0.0
107,1972-09-30,3.56,0.0,0.0
108,1972-12-31,3.56,0.0,0.0
109,1973-03-31,3.56,0.0,0.0
110,1973-06-30,4.06,0.0,0.0
111,1973-09-30,4.31,0.131422428749702,0.0
112,1973-12-31,10.11,0.05975493050201513,0.131422428749702
113,1974-03-31,10.11,0.8525871289167237,0.05975493050201513
114,1974-06-30,10.11,0.0,0.8525871289167237
115,1974-09-30,11.16,0.0,0.0
116,1974-12-31,11.16,0.09881092392078496,0.0
117,1975-03-31,11.16,0.0,0.09881092392078496
118,1975-06-30,11.16,0.0,0.0
119,1975-09-30,11.16,0.0,0.0
120,1975-12-31,11.763333333333332,0.0,0.0
121,1976-03-31,12.17,0.05265139206590399,0.0
122,1976-06-30,12.746666666666666,0.03398655798036689,0.05265139206590399
123,1976-09-30,13.9,0.046295892515654934,0.03398655798036689
124,1976-12-31,13.9,0.08661904062155536,0.046295892515654934
125,1977-03-31,13.9,0.0,0.08661904062155536
126,1977-06-30,14.533333333333331,0.0,0.0
127,1977-09-30,14.85,0.04455602155023281,0.0
128,1977-12-31,14.85,0.02155500356182969,0.04455602155023281
129,1978-03-31,14.85,0.0,0.02155500356182969
130,1978-06-30,14.85,0.0,0.0
131,1978-09-30,14.85,0.0,0.0
132,1978-12-31,15.516666666666666,0.0,0.0
133,1979-03-31,17.683333333333334,0.043914849806257775,0.0
134,1979-06-30,25.583333333333332,0.1307078613369162,0.043914849806257775
135,1979-09-30,30.833333333333332,0.36931852140731436,0.1307078613369162
136,1979-12-31,35.83333333333333,0.18665525805107305,0.36931852140731436
137,1980-03-31,39.5,0.1502822030493379,0.18665525805107305
138,1980-06-30,37.833333333333336,0.09742211300746852,0.1502822030493379
139,1980-09-30,36.333333333333336,-0.04311012365372844,0.09742211300746852
140,1980-12-31,38.0,-0.04045495469231364,-0.04311012365372844
141,1981-03-31,37.333333333333336,0.04485056616535171,-0.04045495469231364
142,1981-06-30,36.0,-0.01769957709940086,0.04485056616535171
143,1981-09-30,35.33333333333333,-0.03636764417087495,-0.01769957709940086
144,1981-12-31,31.296666666666663,-0.018692133012152633,-0.03636764417087495
145,1982-03-31,34.81666666666666,-0.12131520984161108,-0.018692133012152633
146,1982-06-30,34.58,0.10658460373211875,-0.12131520984161108
147,1982-09-30,33.85,-0.006820719079320647,0.10658460373211875
148,1982-12-31,29.653333333333332,-0.02133648089686033,-0.006820719079320647
149,1983-03-31,30.536666666666665,-0.13236445752412146,-0.02133648089686033
150,1983-06-30,31.56,0.029353605524845037,-0.13236445752412146
151,1983-09-30,29.83,0.032962348618665906,0.029353605524845037
152,1983-12-31,30.198666666666664,-0.05637589745101642,0.032962348618665906
153,1984-03-31,30.368333333333332,0.01228317476914659,-0.05637589745101642
154,1984-06-30,29.104333333333333,0.005602625537928499,0.01228317476914659
155,1984-09-30,27.430666666666664,-0.042513323944150375,0.005602625537928499
156,1984-12-31,27.05,-0.059225465945707455,-0.042513323944150375
157,1985-03-31,27.857,-0.013974603651383869,-0.059225465945707455
158,1985-06-30,27.791,0.029397275997665492,-0.013974603651383869
159,1985-09-30,29.193,-0.0023720540161916463,0.029397275997665492
160,1985-12-31,17.001666666666665,0.04921672723399729,-0.0023720540161916463
161,1986-03-31,13.92,-0.5406175760415892,0.04921672723399729
162,1986-06-30,13.86,-0.19998472356009886,-0.5406175760415892
163,1986-09-30,15.378333333333332,-0.004319661144516396,-0.19998472356009886
164,1986-12-31,18.229,0.10395259860065215,-0.004319661144516396
165,1987-03-31,19.364,0.17005414018837506,0.10395259860065215
166,1987-06-30,20.385,0.06040193952666348,0.17005414018837506
167,1987-09-30,18.669666666666664,0.05138366419376879,0.06040193952666348
168,1987-12-31,16.714,-0.08789923283162035,0.05138366419376879
169,1988-03-31,17.281,-0.11065341186035206,-0.08789923283162035
170,1988-06-30,15.163,0.0333609404926102,-0.11065341186035206
171,1988-09-30,14.680333333333332,-0.13074938225305238,0.0333609404926102
172,1988-12-31,18.418,-0.03234952025988837,-0.13074938225305238
173,1989-03-31,20.359,0.22681971774026144,-0.03234952025988837
174,1989-06-30,19.25333333333333,0.10019462726336484,0.22681971774026144
175,1989-09-30,20.333,-0.055838868646079176,0.10019462726336484
176,1989-12-31,21.72233333333333,0.054560976011743645,-0.055838868646079176
177,1990-03-31,17.896666666666665,0.06609573523742855,0.054560976011743645
178,1990-06-30,26.499666666666663,-0.19372644139926473,0.06609573523742855
179,1990-09-30,31.853,0.39251767853034447,-0.19372644139926473
180,1990-12-31,21.780666666666665,0.1839994148084797,0.39251767853034447
181,1991-03-31,20.752666666666663,-0.3801088429473094,0.1839994148084797
182,1991-06-30,21.655,-0.0483479736821748,-0.3801088429473094
183,1991-09-30,21.736666666666665,0.042561622190881866,-0.0483479736821748
184,1991-12-31,18.91033333333333,0.003764168070411148,0.042561622190881866
185,1992-03-31,21.186,-0.13929203286433608,0.003764168070411148
186,1992-06-30,21.670333333333332,0.11363207630163945,-0.13929203286433608
187,1992-09-30,20.479,0.022603611504542407,0.11363207630163945
188,1992-12-31,19.825,-0.05654422682467149,0.022603611504542407
189,1993-03-31,19.76,-0.03245620333326368,-0.05654422682467149
190,1993-06-30,17.796333333333333,-0.003284075201189773,-0.03245620333326368
191,1993-09-30,16.45133333333333,-0.10466724875041669,-0.003284075201189773
192,1993-12-31,14.813333333333333,-0.07858591594452297,-0.10466724875041669
193,1994-03-31,17.776666666666667,-0.10487885152146272,-0.07858591594452297
194,1994-06-30,18.496666666666663,0.1823590598410816,-0.10487885152146272
195,1994-09-30,17.656666666666666,0.039703799725298826,0.1823590598410816
196,1994-12-31,18.356666666666666,-0.04647710878137431,0.039703799725298826
197,1995-03-31,19.343333333333334,0.03887938771795482,-0.04647710878137431
198,1995-06-30,17.85333333333333,0.052355014928126886,0.03887938771795482
199,1995-09-30,18.156666666666663,-0.08015759737954525,0.052355014928126886
200,1995-12-31,19.77,0.016847570572611225,-0.08015759737954525
201,1996-03-31,21.756666666666664,0.08512783445505241,0.016847570572611225
202,1996-06-30,22.423333333333332,0.09575458679649067,0.08512783445505241
203,1996-09-30,24.666666666666664,0.030181859390388383,0.09575458679649067
204,1996-12-31,22.79,0.09535072116665538,0.030181859390388383
205,1997-03-31,19.906666666666663,-0.07913096127846711,0.09535072116665538
206,1997-06-30,19.78333333333333,-0.13526715925471305,-0.07913096127846711
207,1997-09-30,19.916666666666664,-0.006214851615312469,-0.13526715925471305
208,1997-12-31,15.93,0.006717069755943007,-0.006214851615312469
209,1998-03-31,14.653333333333332,-0.22335277822155306,0.006717069755943007
210,1998-06-30,14.13,-0.08353628305464622,-0.22335277822155306
211,1998-09-30,12.84,-0.036367644170874715,-0.08353628305464622
212,1998-12-31,13.046666666666667,-0.09573489843462106,-0.036367644170874715
213,1999-03-31,17.66,0.01596737503800546,-0.09573489843462106
214,1999-06-30,21.736666666666665,0.3027695218759935,0.01596737503800546
215,1999-09-30,24.563333333333333,0.2076983475611871,0.3027695218759935
216,1999-12-31,28.806666666666665,0.12225427337379718,0.2076983475611871
217,2000-03-31,28.78333333333333,0.1593520257248791,0.12225427337379718
218,2000-06-30,31.62333333333333,-0.0008103259110994793,0.1593520257248791
219,2000-09-30,31.98,0.09409872881209781,-0.0008103259110994793
220,2000-12-31,28.81,0.01121546266913246,0.09409872881209781
221,2001-03-31,27.883333333333333,-0.10438815830937112,0.01121546266913246
222,2001-06-30,26.6,-0.03269341033171385,-0.10438815830937112
223,2001-09-30,20.403333333333332,-0.04711792297706985,-0.03269341033171385
224,2001-12-31,21.61,-0.26521292959278475,-0.04711792297706985
225,2002-03-31,26.27,0.05745788432392577,-0.26521292959278475
226,2002-06-30,28.33,0.19527143317865392,0.05745788432392577
227,2002-09-30,28.18,0.0754937101449767,0.19527143317865392
228,2002-12-31,34.12,-0.005308807371890972,0.0754937101449767
229,2003-03-31,29.036666666666665,0.1912712161529442,-0.005308807371890972
230,2003-06-30,30.21333333333333,-0.16132432346078737,0.1912712161529442
231,2003-09-30,31.19,0.03972392888895022,-0.16132432346078737
232,2003-12-31,35.25666666666666,0.031814202568070805,0.03972392888895022
233,2004-03-31,38.33,0.1225571060521397,0.031814202568070805
234,2004-06-30,43.86,0.08357824272061196,0.1225571060521397
235,2004-09-30,48.306666666666665,0.1347698635972784,0.08357824272061196
236,2004-12-31,49.70666666666666,0.09656683436902463,0.1347698635972784
237,2005-03-31,53.04333333333334,0.028569484910404463,0.09656683436902463
238,2005-06-30,63.08,0.0649701272848116,0.028569484910404463
239,2005-09-30,60.03333333333334,0.17329457254085473,0.0649701272848116
240,2005-12-31,63.346666666666664,-0.04950379858103685,0.17329457254085473
241,2006-03-31,70.53,0.05372232413680997,-0.04950379858103685
242,2006-06-30,70.44333333333334,0.10741586356947697,0.05372232413680997
243,2006-09-30,60.093333333333334,-0.0012295471141366909,0.10741586356947697
244,2006-12-31,58.13,-0.15890969495161336,-0.0012295471141366909
245,2007-03-31,64.97,-0.03321702744107863,-0.15890969495161336
246,2007-06-30,75.5,0.11124374317918038,-0.03321702744107863
247,2007-09-30,90.85,0.1502070313625394,0.11124374317918038
248,2007-12-31,97.95333333333333,0.18507713858720107,0.1502070313625394
249,2008-03-31,123.96333333333332,0.07528137993751041,0.18507713858720107
250,2008-06-30,117.98333333333332,0.23549464817306767,0.07528137993751041
251,2008-09-30,58.37,-0.0494424514006698,0.23549464817306767
252,2008-12-31,42.96,-0.7037413123363888,-0.0494424514006698
253,2009-03-31,59.54333333333334,-0.30653260901509033,-0.7037413123363888
254,2009-06-30,68.20333333333333,0.32643488859207415,-0.30653260901509033
255,2009-09-30,76.06666666666668,0.13578910071767472,0.32643488859207415
256,2009-12-31,78.62666666666667,0.10911670924950743,0.13578910071767472
257,2010-03-31,77.89,0.033100763704328025,0.10911670924950743
258,2010-06-30,76.16666666666667,-0.009413337532336473,0.033100763704328025
259,2010-09-30,85.02666666666667,-0.022373653265707415,-0.009413337532336473
260,2010-12-31,93.98,0.11004101111281138,-0.022373653265707415
261,2011-03-31,102.55333333333331,0.10011706089570843,0.11004101111281138
262,2011-06-30,89.71,0.08730099478482538,0.10011706089570843
263,2011-09-30,94.06333333333333,-0.133800742888303,0.08730099478482538
264,2011-12-31,102.89333333333332,0.04738606869045548,-0.133800742888303
265,2012-03-31,93.48,0.08972453865964493,0.04738606869045548
266,2012-06-30,92.27,-0.09594534325063525,0.08972453865964493
267,2012-09-30,88.16,-0.013028448080192828,-0.09594534325063525
268,2012-12-31,94.35333333333332,-0.045565716185860125,-0.013028448080192828
269,2013-03-31,94.22333333333333,0.06789325523297883,-0.045565716185860125
270,2013-06-30,105.82333333333332,-0.0013787497985996088,0.06789325523297883
271,2013-09-30,97.34333333333333,0.11610318617238662,-0.0013787497985996088
272,2013-12-31,98.74666666666667,-0.08352678896253475,0.11610318617238662
273,2014-03-31,103.34666666666666,0.014313399888412383,-0.08352678896253475
274,2014-06-30,97.78,0.045531384807953344,0.014313399888412383
275,2014-09-30,73.16,-0.055368975594701414,0.045531384807953344
276,2014-12-31,48.54,-0.2900712336278346,-0.055368975594701414
277,2015-03-31,57.846666666666664,-0.4102606232242096,-0.2900712336278346
278,2015-06-30,46.416666666666664,0.1754076313987786,-0.4102606232242096
279,2015-09-30,41.95,-0.2201372415579502,0.1754076313987786
280,2015-12-31,33.18333333333333,-0.10118015722606843,-0.2201372415579502
281,2016-03-31,45.406666666666666,-0.2344306910711197,-0.10118015722606843
282,2016-06-30,44.85,0.31361119530296705,-0.2344306910711197
283,2016-09-30,49.13666666666666,-0.012335348640257508,0.31361119530296705
284,2016-12-31,51.766666666666666,0.09128194288627191,-0.012335348640257508
285,2017-03-31,48.24,0.05214091009545469,0.09128194288627191
286,2017-06-30,48.163333333333334,-0.07055788906760167,0.05214091009545469
287,2017-09-30,55.36666666666667,-0.0015905400815197847,-0.07055788906760167
288,2017-12-31,62.88666666666666,0.13937971561372933,-0.0015905400815197847
289,2018-03-31,68.03333333333333,0.12735643660245793,0.13937971561372933
290,2018-06-30,69.75666666666666,0.07866361659409199,0.12735643660245793
291,2018-09-30,59.07666666666666,0.025015214436778965,0.07866361659409199
292,2018-12-31,54.82666666666666,-0.16617696018552996,0.025015214436778965
293,2019-03-31,59.78333333333334,-0.07465934180024808,-0.16617696018552996
294,2019-06-30,56.37,0.08655022171149156,-0.07465934180024808
295,2019-09-30,56.95666666666666,-0.05878981321669836,0.08655022171149156
296,2019-12-31,45.75666666666666,0.010353642698588617,-0.05878981321669836
297,2020-03-31,27.806666666666665,-0.2189532441966138,0.010353642698588617
298,2020-06-30,40.89333333333334,-0.49806170049476906,-0.2189532441966138
299,2020-09-30,42.45333333333333,0.3856912504772517,-0.49806170049476906
300,2020-12-31,57.79,0.03743838285002198,0.3856912504772517
301,2021-03-31,66.09,0.3084103169017234,0.03743838285002198
302,2021-06-30,70.62333333333333,0.1342016991526749,0.3084103169017234
303,2021-09-30,77.44666666666667,0.06634314088572792,0.1342016991526749
304,2021-12-31,94.45333333333333,0.0922289370491296,0.06634314088572792
305,2022-03-31,108.72333333333331,0.19851635794919453,0.0922289370491296
306,2022-06-30,93.18333333333332,0.14070054380534402,0.19851635794919453
307,2022-09-30,82.78666666666668,-0.15423755036721323,0.14070054380534402
308,2022-12-31,76.07666666666667,-0.11830186097596204,-0.15423755036721323
309,2023-03-31,73.76,-0.0845254140809062,-0.11830186097596204
310,2023-06-30,82.29666666666667,-0.030925024499337754,-0.0845254140809062
311,2023-09-30,78.41,0.10951402538682586,-0.030925024499337754
312,2023-12-31,77.56,-0.04837913439233367,0.10951402538682586
